query_idx,text_hash,true_label,gate,decision,score,trace,risk_4d,uncertainty,p_stop
24,0faabe2e1677cd1aaf654cd550fd1890fd43680d999b512a37b0a2b04c19f348,play,A,play,0.091664,PLAY: score bajo umbrales,0.0,0.423115,0.07
25,c2fe79b141e00c30134ef23b651121f0f9077334ebbcb7a7f8809c28bbec3e5a,stop,A,pausa,0.275746,PAUSA: score combinado supera umbral pausa,0.0,0.610017,0.13
26,bf094bca985be3654a4b16cecaa14b594881d4ef78a494bde0d5fdafd657ae9c,pausa,A,pausa,0.268194,PAUSA: score combinado supera umbral pausa,0.0,0.421091,0.19
27,e1867e00445421cccafe1a0e9c216044867a918307433adb63b52afa5b2722d9,pausa,A,pausa,0.267986,PAUSA: score combinado supera umbral pausa,0.0,0.420805,0.19
28,127caefca4ae5bb454be4cb4419b5f6e75abb9e1a362f8e597a378082731cb71,pausa,A,stop,0.567447,STOP: costo esperado FN-stop supera umbral HITL,0.0,0.596103,0.68
29,35c9d67b7076417a4166ebed22fbea7c8d7ea9ed0fbbabb1168cb91af3712cf2,pausa,A,pausa,0.272673,PAUSA: score combinado supera umbral pausa,0.0,0.427268,0.19
30,3131e7dfb745ac264427889cfee10c62b97bd0101d587c949ce982125f751658,stop,A,stop,0.587318,STOP: costo esperado FN-stop supera umbral HITL,0.0,0.536289,0.74
31,a565487dabf5a9ba6e613a95d40d37c685f9ac8fdcc8a7139889c48b60de140d,pausa,A,pausa,0.232257,PAUSA: score combinado supera umbral pausa,0.0,0.419173,0.07
32,c15913ce8a802b3406d4eb4763b133d9684ef0d19a4d56e5b3b27dc0faf444c7,pausa,A,pausa,0.237032,PAUSA: score combinado supera umbral pausa,0.0,0.425759,0.07
33,e7a4f2c15811f16915c53d482f1d1e6902fd92ee8ef1c774372e50befc1878d6,pausa,A,play,0.187467,PLAY: score bajo umbrales,0.0,0.686103,0.13
34,6c2023480837ffd793e7b841b4451b6b38fbbd3a9873f8b62f999d79d2362a41,pausa,A,pausa,0.247909,PAUSA: score combinado supera umbral pausa,0.12,0.316837,0.07
35,7de056f55aa90f96d9a51ee0b3c39db2f90c8cfb99bf04524747d4c94b05ff39,pausa,A,pausa,0.269362,PAUSA: score combinado supera umbral pausa,0.0,0.422702,0.19
36,32e6fa454a1be9970f3a7f2df6bba2477f2495d4451b9444602c512dce1bc9f6,pausa,A,play,0.086293,PLAY: score bajo umbrales,0.0,0.306113,0.13
37,e45fc8cccc7b95c6c876df197bfd5440432a074f5691bda96363b1ec60cc8a25,pausa,A,pausa,0.260458,PAUSA: score combinado supera umbral pausa,0.0,0.410423,0.19
38,a6680ed767e8fd7ada2b32e0c4361670db8cba8ec310d5b83894b3ddab31b9cb,pausa,A,play,0.126886,PLAY: score bajo umbrales,0.0,0.602557,0.13
39,3286477e8f580de80a75b932e23b9931e59241383e86089aece419084bf14b24,pausa,A,stop,0.572378,STOP: costo esperado FN-stop supera umbral HITL,0.0,0.602904,0.68
40,6479fb18f4ecf55b868e67f0752364638e47b61554098974226069553d44fc81,stop,A,pausa,0.254441,PAUSA: score combinado supera umbral pausa,0.0,0.517238,0.13
41,322fbff8724456303e801f832161b4793dcf291e011ec446a4de11a7c9e4c779,pausa,A,play,0.096901,PLAY: score bajo umbrales,0.06,0.411263,0.07
42,a22790f4efac31e79a68854bff313f399bca47785d7a7e24f5138d4d620e359f,pausa,A,pausa,0.217308,PAUSA: score combinado supera umbral pausa,0.0,0.312784,0.07
43,844e1acb997f78be2d5cc3d7ce068cf3e86d72f0eca84a3539aa7801ede6fe9d,pausa,A,stop,0.636666,STOP: costo esperado FN-stop supera umbral HITL,0.335667,0.079218,0.86
44,b1219e55f926e20969cf1e8ecddd80dbfe9328f5c51fa2b45b78446e787c139f,pausa,A,play,0.126406,PLAY: score bajo umbrales,0.0,0.601896,0.13
45,a7d6a8ae8dd32e8e376f453daef9820ee61a607327ed71a9c7e03077a87f6b5a,stop,A,stop,0.542655,STOP: costo esperado FN-stop supera umbral HITL,0.0,0.056283,0.86
46,e840fb9305c81b50a3860d58d32c8da9c9beae5a0301f850e715a757a2156e6d,pausa,A,play,0.175752,PLAY: score bajo umbrales,0.0,0.061771,0.07
47,616a1b3b78474819bc0d9513585731aa895242356ed4686e0c668df757219439,pausa,A,play,0.118859,PLAY: score bajo umbrales,0.0,0.528091,0.13
48,ac5462f18506148837cf43c3ce39e9b85853666e7342b2ae02615afc7dcd84a8,play,A,play,0.183154,PLAY: score bajo umbrales,0.0,0.071978,0.07
49,3ddb06e187d479e306f0871690bac62618c889a0523045296b07a4305b1b9d00,pausa,A,pausa,0.270326,PAUSA: score combinado supera umbral pausa,0.185667,0.412648,0.07
50,5859d6f4e010dfa1150fdad18443c920c662574a6df62165e5c37c39bac3a4e8,pausa,A,pausa,0.261835,PAUSA: score combinado supera umbral pausa,0.0,0.412322,0.19
51,5bbb5f3b3bdefd79e8ef37041ae97309b6e9c5ef33278b3bb3b867d1caf1b9bb,pausa,A,play,0.072197,PLAY: score bajo umbrales,0.0,0.310496,0.07
52,937cac14895ce6f945ffa7939c8d8845360060cc3648348e96a3a66b7a518cf2,pausa,A,stop,0.61983,STOP: costo esperado FN-stop supera umbral HITL,0.335667,0.056,0.86
53,96e716d42f2d18184bba74dbed10bc6d22d08cf626a5018934992709900eb10a,pausa,A,play,0.063757,PLAY: score bajo umbrales,0.0,0.298856,0.07
54,8ae708ddd73f307c16169ac1782e604c248a988d6ae82f6761757eb5548386ef,stop,A,play,0.125076,PLAY: score bajo umbrales,0.0,0.536664,0.13
55,c53049828e5bd02770affb434d8eff15d4a4791e4a24488e6548ea2bf4adf687,pausa,A,play,0.130444,PLAY: score bajo umbrales,0.0,0.544067,0.13
56,4f034c9cc8246756d5f94bd65e7901447c5824a64478fc40ccf74aadac7cfc33,pausa,A,pausa,0.229092,PAUSA: score combinado supera umbral pausa,0.0,0.414809,0.07
57,2e75a114bceecd943769b5b3145dcdbd9ddc34ba89e7ca13ba27fad0b934bf9d,pausa,A,pausa,0.260526,PAUSA: score combinado supera umbral pausa,0.0,0.52563,0.13
58,4827f7a503ac54179476105353e0042e3c51f6728397865050f12a7f7dc993bf,pausa,A,pausa,0.229543,PAUSA: score combinado supera umbral pausa,0.0,0.415431,0.07
59,272acb087c6de276b2d765a507a8750ad47140a8f5a0cdc99c111182a354bd6c,pausa,A,stop,0.571998,STOP: costo esperado FN-stop supera umbral HITL,0.0,0.60238,0.68
60,e18f34becf4f8a98618fdf5fb01831800901981c4012d93da20e7214acafb798,pausa,A,pausa,0.223334,PAUSA: score combinado supera umbral pausa,0.0,0.321095,0.07
61,fd6bb9676aa960f06b807db09e3b5b3fed31e361134ecea368bb8126a94a8e7d,pausa,A,pausa,0.257366,PAUSA: score combinado supera umbral pausa,0.0,0.521273,0.13
62,7e7a17fe1640db6ade2c39bb59ecd83c19513d031fe38279d0ed5d64c5d21369,pausa,A,play,0.122206,PLAY: score bajo umbrales,0.0,0.596103,0.13
63,262472dd90c85e4deb9b2029575d55ddf819f437043f0e9dc31689b976b23e28,pausa,A,play,0.120868,PLAY: score bajo umbrales,0.0,0.530861,0.13
64,01ecd6177ee73e60656938e0f0499fe3330db9f03721e26eefa6daf8bbe13590,pausa,A,pausa,0.270209,PAUSA: score combinado supera umbral pausa,0.0,0.423871,0.19
65,b629717ee2c78efe81047f5ea63e37b0f72c4f675577af2fbdbbd69695596aa9,pausa,A,pausa,0.213948,PAUSA: score combinado supera umbral pausa,0.0,0.30815,0.07
66,c957bf52c7a94994b41a46294c65f06833220772484affcd7c39c045ff2e0d14,pausa,A,pausa,0.241291,PAUSA: score combinado supera umbral pausa,0.0,0.431632,0.07
67,6c7f8c49f60ba561068c9d59a29b395337b6e54ecb3bee5083b7914094c3a5cb,pausa,A,pausa,0.2268,PAUSA: score combinado supera umbral pausa,0.0,0.411648,0.07
68,0b53d6658c83a53c84951c3ff3c6cea06330a91ca6c57f90aa8861c8695943ed,stop,A,play,0.084833,PLAY: score bajo umbrales,0.0,0.3041,0.13
69,b26b8177d055d7ced041b1302c2949c01ae7c13381568218b770ea8fc188340b,pausa,A,pausa,0.269605,PAUSA: score combinado supera umbral pausa,0.0,0.538151,0.13
70,97655fcbe6b3fe60680050d0446feb56fb33892c9a9afe20cc6f943a7d300fd2,pausa,A,pausa,0.269079,PAUSA: score combinado supera umbral pausa,0.0,0.600822,0.13
71,39a29dc81b4975da444783ac60299f2351a014bdaea87ed64965e796ec0c38fc,pausa,A,pausa,0.259386,PAUSA: score combinado supera umbral pausa,0.0,0.408944,0.19
72,cdf8895e0a675a95636bce500d14604bfbf5e911bc22173bc40626c2f0fd2b58,play,A,play,0.187467,PLAY: score bajo umbrales,0.0,0.686103,0.13
73,49aaaaa339be47bd78422b99f218fc0483d35e06d757b4f5a220f5b606dffc17,pausa,A,play,0.064535,PLAY: score bajo umbrales,0.0,0.299929,0.07
74,86d613d07a9c70b52e6fa910c10d890a9032cbc39f7203d194d1bf634c3e3a24,stop,A,stop,0.634731,STOP: costo esperado FN-stop supera umbral HITL,0.335667,0.403671,0.74
75,7ff06f43bcb2b2b1d4086364e4dd8721a010276af13a471d5254dd9783b34e2a,pausa,A,play,0.03142,PLAY: score bajo umbrales,0.0,0.060556,0.07
76,46d2787e16d9dcec0163edfc1a78c9d61df6a20402cf7e9686d5c3b0077a76fc,pausa,A,play,0.126205,PLAY: score bajo umbrales,0.0,0.538221,0.13
77,1225cafdf86e0b337c0935ab1907ce1f91d502b5f13583ec6cd663c45162990b,pausa,A,play,0.122894,PLAY: score bajo umbrales,0.0,0.533656,0.13
78,3c5d8a2cd4703870cfc24a9696030c3ffcb76408bb376876c853826bccd70aaa,pausa,A,play,0.129188,PLAY: score bajo umbrales,0.0,0.427221,0.19
79,40c1cce09cf60873e27dfd774ce5892f8a7ba8d8d80aa0d912a82cece5d7d38c,pausa,A,play,0.124557,PLAY: score bajo umbrales,0.0,0.535948,0.13
80,627ca699ecd62b4a09c75dafca846eba19509b116957710a69583e483bc3780c,play,A,pausa,0.284127,PAUSA: score combinado supera umbral pausa,0.0,0.597753,0.19
81,38d12e296a24b749c33d9544d253fa8e79d98f101dc35cbd62da03612bd31c38,play,A,stop,0.592852,STOP: costo esperado FN-stop supera umbral HITL,0.0,0.543922,0.74
82,cb51982b2ce2acc1fdea8bae05c71dc58cbd6c63452f00098474b4d34b11be67,pausa,A,pausa,0.228979,PAUSA: score combinado supera umbral pausa,0.0,0.305058,0.13
83,f5faa99ec298100abfc834d79689776b7a3267c4f929c8b1fdc6da5148f71a5a,pausa,A,pausa,0.26364,PAUSA: score combinado supera umbral pausa,0.0,0.529924,0.13
84,99b81a6b2df817378edf18209326bdb02a5965e27f0aae12b4f1ce80e5ab9ae1,pausa,A,play,0.132016,PLAY: score bajo umbrales,0.0,0.609631,0.13
85,7386e6e9e23bd952ad8ffa1ae0ed68b0b9ae3d93ba1682bc52c6d8a3a050dcfc,pausa,A,pausa,0.254836,PAUSA: score combinado supera umbral pausa,0.15,0.316852,0.07
86,f6b84a49d033d3bfa9508f9be589d52ac77005138633aea036b13a16ca9c9419,pausa,A,pausa,0.255594,PAUSA: score combinado supera umbral pausa,0.15,0.403671,0.07
87,a52e2d75e4cf740f6788c75d7572200271f0f7dabf041cb752aedfb145414089,pausa,A,pausa,0.20584,PAUSA: score combinado supera umbral pausa,0.0,0.296969,0.07
88,3ca30e82bf8327bae125ac378dadfeaae67c7f42b3e431f47b95a2d948af045e,pausa,A,play,0.093094,PLAY: score bajo umbrales,0.0,0.425087,0.07
89,4ccb500ba4e2358a71c3e90e9a53255b429e6eee38fc5448afffcad25ace0596,pausa,A,play,0.078849,PLAY: score bajo umbrales,0.0,0.405442,0.07
90,d302bd17de4f7a695a87c21551c6331d5a3fa8ff8c63aa52ab5b089923d7e30b,pausa,A,pausa,0.222246,PAUSA: score combinado supera umbral pausa,0.0,0.405367,0.07
91,1990ca693119faca84520cd0b206e9bc2d6d114237a848ddacbab6d789e99960,pausa,A,pausa,0.262824,PAUSA: score combinado supera umbral pausa,0.0,0.5288,0.13
92,7796aa1fc314ead35110feed7d70de944725df2dad87cafd3efb055cbde707c0,pausa,A,pausa,0.263618,PAUSA: score combinado supera umbral pausa,0.15,0.414737,0.07
93,d002463a8be47bd70ddabdb485a2c022f633e40a70739def8143af42830dd8e1,pausa,A,play,0.043663,PLAY: score bajo umbrales,0.0,0.07744,0.07
94,9f7cc071df506aeeae61bdb2992b93e5d713004926220f1c372b9bfe9d875bcf,pausa,A,pausa,0.207372,PAUSA: play con incertidumbre alta,0.335667,0.606842,0.13
95,5142721eb544fc10c99ec0ec22015a194c9bf5bed81eef7f7406736f0406383a,pausa,A,play,0.164235,PLAY: score bajo umbrales,0.075,0.606399,0.19
96,cccfd6956cb178ea9e30d89f430c5fe09829e9d99b32679d843963e95a890694,stop,A,stop,0.61983,STOP: costo esperado FN-stop supera umbral HITL,0.335667,0.056,0.86
97,ffc199f69dbe0c19a5f00c8d8f8200a395760168ac2e8fbc99947929e80567f8,stop,A,pausa,0.229912,PAUSA: score combinado supera umbral pausa,0.0,0.415939,0.07
98,a15968f264a0a5a5823e5aadba00e37cec7b4706774e718e19c66e496104a3e0,pausa,A,play,0.123952,PLAY: score bajo umbrales,0.0,0.535114,0.13
99,424a5434267c76eec85fa294183a61aaba69ed6e1f50f134a26db117083466ae,pausa,A,stop,0.583376,STOP: costo esperado FN-stop supera umbral HITL,0.0,0.618071,0.68
100,8b3ca72ec21a09322ffdc1d6578994edb8748e0b86f0b8cb845fcf4d77a4faf3,pausa,A,play,0.077564,PLAY: score bajo umbrales,0.0,0.403671,0.07
101,606ff878553e608a6f821f8157121b3e54130dc91433d72cf20bf22121ce3cf9,pausa,A,play,0.064481,PLAY: score bajo umbrales,0.0,0.299854,0.07
102,a65ba2f69cbf36ec623f09cdee5bbb045f67d4dab1ef656c3db36b8e571e8481,play,A,pausa,0.25966,PAUSA: score combinado supera umbral pausa,0.0,0.524436,0.13
103,6bee8ab2b30d7982ca3b263e1edc31f3da5ae7aee1ebccf940d823c605ba5eff,pausa,A,play,0.097754,PLAY: score bajo umbrales,0.0,0.431514,0.07
104,7da04aeb5a244fc1aa830b6c75753cb3ac623255051a293a33124ad9a84bf3d7,pausa,A,pausa,0.269892,PAUSA: score combinado supera umbral pausa,0.0,0.538546,0.13
105,be2800396329f45330e450079b9f45a364e0ef4bd5f839dbd674be4e013456ce,play,A,pausa,0.267214,PAUSA: score combinado supera umbral pausa,0.0,0.534854,0.13
106,70d5f6e2b5a125d696c76d001effaeb47a7542176633854823a7bd60c7ef7648,play,A,pausa,0.27405,PAUSA: score combinado supera umbral pausa,0.0,0.607677,0.13
107,97802e31db5b9870d66c4a859e3be949d075e11578b6b1e67c0ca2968f1230dc,pausa,A,stop,0.594344,STOP: costo esperado FN-stop supera umbral HITL,0.06,0.614123,0.68
108,0921d9615ddf476c65baf00b36b5f08f7e3338ce48884fdd2df88eb9186c2dec,pausa,A,play,0.087295,PLAY: score bajo umbrales,0.0,0.41709,0.07
109,d7c0bde7bd2d5027c392d0ae1ce53a9e40b7c111d07f3477d4940c9365048f52,pausa,A,pausa,0.262127,PAUSA: score combinado supera umbral pausa,0.0,0.527838,0.13
110,b0565092ce936a2bba23e1dfc0a6ea0e18134417beb47610795a93da6767b2a7,pausa,A,play,0.114677,PLAY: score bajo umbrales,0.0,0.522323,0.13
111,a70e1fba59e0b67c8a5379fe0ac795ecd8d6259281143d0832f812a2dbb9181f,stop,A,pausa,0.263562,PAUSA: score combinado supera umbral pausa,0.0,0.529816,0.13
112,e2e69148f4d375ce840b9fac3976fa3f7bb05601f33e9a70cd79b40cfaac9915,pausa,A,play,0.081444,PLAY: score bajo umbrales,0.0,0.409022,0.07
113,4316542bd62faf96c9ddc2570dcaa47aea78ef76afb99f56e6531818e9ca6aa2,stop,A,stop,0.545899,STOP: costo esperado FN-stop supera umbral HITL,0.0,0.060756,0.86
114,257d58c855532aca2ac019b25c2cb7f3fc001aa2892caadbbf5586dcee02c4ea,pausa,A,pausa,0.234825,PAUSA: score combinado supera umbral pausa,0.0,0.422715,0.07
115,94dfa339be0b8c69bd55cd2d9e34b4c394fd6b88e583a7ebb29dca5160a298ba,pausa,A,pausa,0.254441,PAUSA: score combinado supera umbral pausa,0.0,0.517238,0.13
116,5b385dbd4face4399e31322df5641e7e62a4b12795fdea1b163eb44e2129ca7d,pausa,A,play,0.112102,PLAY: score bajo umbrales,0.0,0.518773,0.13
117,a7172dbe97ae9fca83c490d043bde1ebe789d5f3f5f2867e1d9090dbe32bcc83,pausa,A,stop,0.580168,STOP: costo esperado FN-stop supera umbral HITL,0.0,0.526429,0.74
118,83de58e4b79fa9d6807e9afc2ddcd5c9e1bc6fd2695a122a8a3040041e92b06a,pausa,A,stop,0.574118,STOP: costo esperado FN-stop supera umbral HITL,0.0,0.605304,0.68
119,e126e26c714bfaf7663096006dcb8e513dfaa39806c468464af77cd431db7c3f,pausa,A,pausa,0.254441,PAUSA: score combinado supera umbral pausa,0.0,0.517238,0.13
120,2dc84e02ae71cac1a327a65fcecb414016b3ffd03e3c419c2d664aef608cd81c,pausa,A,pausa,0.28732,PAUSA: score combinado supera umbral pausa,0.0,0.625978,0.13
121,92f773c386ee72241452256bf463fc1abbbb207514bfdae8e3fe0cbc5a3de900,pausa,A,pausa,0.266344,PAUSA: score combinado supera umbral pausa,0.0,0.418539,0.19
122,1f0f4db9013f1eb6829aecba28dccba467e0057cf06dc8326dd29cd80af6b266,play,A,play,0.131008,PLAY: score bajo umbrales,0.0,0.544844,0.13
123,c2e817d6f3c970b051b58b5747247166e5be85c66d0a145c6547e2006755ed97,pausa,A,play,0.187467,PLAY: score bajo umbrales,0.0,0.686103,0.13
124,aab65ec304751fdaf81faf289716c5b6fb98a600af8a97ad6b087a47a9b83a13,pausa,A,play,0.112111,PLAY: score bajo umbrales,0.0,0.403671,0.19
125,5e27ea3824b4919896f5798742f07466b32826be9f153a960d43d00d0d7437c2,pausa,A,pausa,0.20584,PAUSA: score combinado supera umbral pausa,0.0,0.296969,0.07
126,16f2160e72c9ebb3e8b89072fd90185e8a9aa06bdaa0e97073d3ff2b493bf0ec,pausa,A,stop,0.565687,STOP: costo esperado FN-stop supera umbral HITL,0.0,0.415166,0.74
127,b2d957f5eb92fb0773403a0efb4394b19269d8b1d0e79abbb7bcc0e335a2923c,pausa,A,play,0.079662,PLAY: score bajo umbrales,0.0,0.296969,0.13
128,9cc5035ad60603f6c3f30e49c7864410b78fb6bac15f0446d98554841950f20c,pausa,A,play,0.087021,PLAY: score bajo umbrales,0.0,0.307117,0.13
129,1f464cfedc6c0995dc47aab142139a846c9c4d3424199cc208ff91cbae53e119,pausa,A,pausa,0.237881,PAUSA: score combinado supera umbral pausa,0.0,0.426929,0.07
130,c1eb414f80c0371279b4da313a77cfd1eb400f9c7ca30d0a7db8ae1d49abea6b,pausa,A,play,0.134054,PLAY: score bajo umbrales,0.0,0.549046,0.13
131,3803e33027fbae562673bc69c1d54199a15d569afc0fd78f2259551329eb5c89,pausa,A,play,0.126845,PLAY: score bajo umbrales,0.0,0.602501,0.13
132,4078eabccb8d2b09ebd92730aea2de548c5f29369d981360a5e9e0cae3e916e2,pausa,A,play,0.064076,PLAY: score bajo umbrales,0.0,0.299296,0.07
133,78be80d67f15765d18ea2070d4d24cf6c169bf7b9600962c9a3cb1f091e7d35e,pausa,A,play,0.083158,PLAY: score bajo umbrales,0.0,0.411385,0.07
134,c4f8002b58a4a62b85a51cf813f762efaa240aa9d4acb476766804b29205909c,pausa,A,play,0.123671,PLAY: score bajo umbrales,0.0,0.534727,0.13
135,cf9f33f2901653672cdbdfd1d324332108a56ed4ed394f5b33ec9a113cd39e4a,pausa,A,stop,0.577933,STOP: costo esperado FN-stop supera umbral HITL,0.0,0.610564,0.68
136,fc86a1b64068397448a81139f4b4954a724a2628531168932b4437f3a94dcc0b,pausa,A,pausa,0.268875,PAUSA: score combinado supera umbral pausa,0.0,0.537143,0.13
137,f09b4758af99925fba656e45185d3716cacb6742a4796107612836fda0332a0b,pausa,A,play,0.080514,PLAY: score bajo umbrales,0.0,0.321965,0.07
138,94e53428e5da95696b0e513e88383c0bb528416a1674c2e5982d249a6373b148,pausa,A,play,0.151132,PLAY: score bajo umbrales,0.0,0.612173,0.19
139,8befe2ebeaa8ef6ea89e140bc97bd3740f239fa4938ffb0e8cd57c0df204d639,pausa,A,pausa,0.267209,PAUSA: score combinado supera umbral pausa,0.0,0.534847,0.13
140,d661ea2c83d44d137f448421cb0a7e8403a7b0fc714f8f9c115b897b57123bf6,pausa,A,play,0.082636,PLAY: score bajo umbrales,0.0,0.410665,0.07
141,e0eb90c6938cc0213974812ab91a55871687ede0d62630da977e35a024ff4a84,pausa,A,play,0.085935,PLAY: score bajo umbrales,0.0,0.415214,0.07
142,4b3e5959f588e29dc6a49bdae1d2462b1a257db837e835ce9a3854f076b509b2,pausa,A,pausa,0.231852,PAUSA: score combinado supera umbral pausa,0.0,0.30902,0.13
143,83dfc7b796f35e9f5c58c7fab8d126b656aea18eec6cb5a49e1fd42f70c8cd7b,pausa,A,play,0.113798,PLAY: score bajo umbrales,0.0,0.521111,0.13
144,4d61f383ee670a1b548759395ebde435c851d4683f2cb9451f23d96b758b7d47,pausa,A,play,0.191683,PLAY: score bajo umbrales,0.0,0.08374,0.07
145,c55f661ede9428b6aaf28e214362c7f181576a4bed26057fdafa9ac058c116fa,pausa,A,play,0.116081,PLAY: score bajo umbrales,0.0,0.524259,0.13
146,790d2fc54f352590b0233038db0cd18ed4376b415ee12e2d0e88be477abd4ce6,pausa,A,pausa,0.244005,PAUSA: score combinado supera umbral pausa,0.0,0.435376,0.07
147,0d5d9daaaa2c9e6fe697fef7990fac2bd22c073f2df820b348380589550df033,pausa,A,pausa,0.208866,PAUSA: score combinado supera umbral pausa,0.0,0.301143,0.07
148,3c4e8450147df5f1fddc0d5af0b04e38e041f0517f851e759da177f6d48276c3,pausa,A,pausa,0.226404,PAUSA: score combinado supera umbral pausa,0.0,0.411102,0.07
149,c75e4e29b1ac053fce58bb8d8c06a0ec422b4387901cae92f6abf642792ae228,pausa,A,pausa,0.234685,PAUSA: score combinado supera umbral pausa,0.0,0.312927,0.13
150,bf23019e3f0f0389498472c1b560d71c732de4bd034b54affa61745490c59540,play,A,pausa,0.270542,PAUSA: score combinado supera umbral pausa,0.0,0.60284,0.13
151,20768a24094fea993dca6801e66f07294023eeb30a7a5829f69be5177c1c2930,pausa,A,pausa,0.22708,PAUSA: score combinado supera umbral pausa,0.0,0.412034,0.07
152,43bc9e7111b85663bb7d0d52dfbff497b1d2cb67366e39974980406a8689fade,pausa,A,play,0.068004,PLAY: score bajo umbrales,0.0,0.304714,0.07
153,078a25e5184a253f3c12eb35f0bfd6686483cf48bc0d52bfa52cf76c0e8ebfa2,pausa,A,stop,0.557832,STOP: costo esperado FN-stop supera umbral HITL,0.0,0.404333,0.74
154,a8864f87f512dc4256f20efd6ce9f91dbf083ec3032c8a5f0e5da33b60b7dd81,play,A,pausa,0.272216,PAUSA: score combinado supera umbral pausa,0.15,0.426593,0.07
155,df91360fe4199fab490893652b27d79889b1059840985512014877f0047cad60,pausa,A,play,0.180081,PLAY: score bajo umbrales,0.0,0.06774,0.07
156,a1ba00ed858e4d9f8e8ba2bee484bd065794c38a694ff99e9e5ac42ba1bb89ba,pausa,A,play,0.119623,PLAY: score bajo umbrales,0.0,0.529144,0.13
