query_idx,query_hash,sklearn_top5,hybrid_top5,overlap_at_5,jaccard_at_5
10,22faac5ccc71e10c3cb70f96971537659fa82ba23b7c4238d0033aae3f75bc31,0a670cdebeafe214de8ecba7e9f8942eb96f1e0e8fd683d95cdf0aa7f3f1c160|4028d3c061999b1c01ed940d6fd3b13ccdbf014db329d8549caf9f6431734f5c|5420a5dce56f27dc43a816dcef51965833d748b5e96e768bf488271b7d8ce468|5e75ae30f93f4ee80766ff9aac21444a206270c0416d9b7443d302ece90b6958|8511b2bfd3ed3ec5996490dae048132e050dd6f3fb30300c410daa366751304a,0a670cdebeafe214de8ecba7e9f8942eb96f1e0e8fd683d95cdf0aa7f3f1c160|5420a5dce56f27dc43a816dcef51965833d748b5e96e768bf488271b7d8ce468|5e75ae30f93f4ee80766ff9aac21444a206270c0416d9b7443d302ece90b6958|7902d319c72cb3cf57140c796de91571c807ae777ddc6ebf881c0536ae9e3419|8511b2bfd3ed3ec5996490dae048132e050dd6f3fb30300c410daa366751304a,4,0.6666666666666666
11,891204e5d79a672b85bf91ddd9e44998aee086e03b249c861d577cac64257e43,36fedb91c4872d1c4f62f64d0d9cf2a15478a0c3ff10b0d45bf4346c1e4fc56a|3929c8011533282004d84ee92bce9c67498035e4edeacf0cd003f3f9bd36798b|97b17964d27c7dda3a948f97193b1185106116bffa6ea7e5fb17e08bae0ba7f6|a09e04049b8ca42e59e8dfa506316092e207afd9242954629a248119dd639462|d975ade6d95312a7164ae6b5ed99808253d347aa09480e42cdd5bbc2106597cc,36fedb91c4872d1c4f62f64d0d9cf2a15478a0c3ff10b0d45bf4346c1e4fc56a|3929c8011533282004d84ee92bce9c67498035e4edeacf0cd003f3f9bd36798b|97b17964d27c7dda3a948f97193b1185106116bffa6ea7e5fb17e08bae0ba7f6|d975ade6d95312a7164ae6b5ed99808253d347aa09480e42cdd5bbc2106597cc|e41ca33c626a31fb380feadf14cf690dc6a0959f38a10fb86a2205ff8976477d,4,0.6666666666666666
12,b338ffcee9fc1b5900f6ceb469f1ae79c3bd706624c0fd475135ae3e8505de61,08db3dc49103c8ccfff8b8dd59d2b8fa79ebca6f181aec85d18c2d9e440dc33f|50f50c77354314a73686fd77a1e2c3b3b4b8a48d5bbfdc5391409e149234c098|7175846e309b39507fa4c4cfa3ee674c5626208653c00dcf439122eea5f9aec0|737a8c586e01a3db3f0e7f8cdf0146c83a33197e8d2e8f1ab813f7fbb5ddbbae|c020e3e61c72b8025cbdaa2c813ae36f00080d2900b13a19128931d6d15dd411,08db3dc49103c8ccfff8b8dd59d2b8fa79ebca6f181aec85d18c2d9e440dc33f|50f50c77354314a73686fd77a1e2c3b3b4b8a48d5bbfdc5391409e149234c098|7175846e309b39507fa4c4cfa3ee674c5626208653c00dcf439122eea5f9aec0|737a8c586e01a3db3f0e7f8cdf0146c83a33197e8d2e8f1ab813f7fbb5ddbbae|c020e3e61c72b8025cbdaa2c813ae36f00080d2900b13a19128931d6d15dd411,5,1.0
13,b6f500f006ded41d74c32e874f55c87ea27a83cae1066ba78051ecad7845b3b5,01f7b5d8d6170c1149f8bcc832828d240b2d5b949bfe050a2a7fdbbbb34caea0|0aa9684214823ca1d62b11e2ad0234ef3597aef339ef9057e162c5fd8f0e5a47|13d1b6d6c5d6ebdd07b205cf3c30e2d3865b7d0bafef8f76188109fca7e92b9c|4f3984e58836d7a0c6264e25c792f7354a579500bff4d36b68e93181a259521e|d0975ddc01cf48bda8f798e60d40db72f97594c709f0d78a2e297a7350475152,0aa9684214823ca1d62b11e2ad0234ef3597aef339ef9057e162c5fd8f0e5a47|4b07eb031a4d6608cae0d9128cd929cfe8356d209992b3934ef13df1e2130882|4f3984e58836d7a0c6264e25c792f7354a579500bff4d36b68e93181a259521e|d05e95d77ad520e094cf6635fccd2f1eb72ecb6aedd72f0ed47b3e2897135610|d0975ddc01cf48bda8f798e60d40db72f97594c709f0d78a2e297a7350475152,3,0.42857142857142855
14,d1b96f0d8ecd18d908936f641166c3e5b797763ca4a64ca856f130be54938059,04b4b487fd77a4e445636da80a476715bd1de5aab717cc1475435b96e66446eb|1f96e5d2dbec9ae7d398906c643396c98359fa0c5ced8b53bfcde437f4980244|4f35fba0953af158306c34dcc7b7a6823a0bf7b653bc50056b075aa7d03164f8|b1c730e1b9bf99b447bf68536730e236270c595f3e9922b445aa92cd083ba480|eb232c5cf9917e7ac52f93318f2a096e430e27c689784154f1120e2e759091a1,04b4b487fd77a4e445636da80a476715bd1de5aab717cc1475435b96e66446eb|1f96e5d2dbec9ae7d398906c643396c98359fa0c5ced8b53bfcde437f4980244|4f35fba0953af158306c34dcc7b7a6823a0bf7b653bc50056b075aa7d03164f8|b1c730e1b9bf99b447bf68536730e236270c595f3e9922b445aa92cd083ba480|eb232c5cf9917e7ac52f93318f2a096e430e27c689784154f1120e2e759091a1,5,1.0
15,a8f390c58560a8790d29008b21c3d1efd960c61c3185a95cd91f831f1803eb54,2cd497a12c85a314351d58eddcc7afa30de6a3acab08a9fa52394cfce9311fd7|5fa8b61859dfd7738768d4e65020d6e31fd5d7a8a529f39746b90d447652ad7a|9c1c1eb18cdcbddd1f13c5179d6ea1a95eec02c9b77730ee7de4ce3217883d8d|d9bcbdec1518f4fb8382dbe80f364bec52e2520154417a05c8199176af7c06c1|f6486da5203b9c7140b30b8f7f8e2328a397ba84914ec801359153d722deae1b,0d2066478d0946c904c241c169bad533e89e7588530b114054e28c5c672e1b4a|2cd497a12c85a314351d58eddcc7afa30de6a3acab08a9fa52394cfce9311fd7|9c1c1eb18cdcbddd1f13c5179d6ea1a95eec02c9b77730ee7de4ce3217883d8d|d9bcbdec1518f4fb8382dbe80f364bec52e2520154417a05c8199176af7c06c1|f6486da5203b9c7140b30b8f7f8e2328a397ba84914ec801359153d722deae1b,4,0.6666666666666666
16,273d28147f5877244923e2b1e468eb4f672d700397b704b76c9b90f0879c040c,0af4b1f88c4e83b6b0523f57dbb515546519377cec7fb975eddd109bed758095|4f553410b2c546d7256a62b1ed0843e501a053c38cf7572489c52253506beac0|a4f3399a04903c2387b4ddd966df2713b139582f54e4b0f2ca158e67aad972cc|c7c8139dcd50a95530214d26cb0f21c287bda94c04daba4847ea2d71f5668150|db22410da1a9fcaf55bd23bd42a82c20c8c1eada214f62f7b464b73bc03ddb6e,0af4b1f88c4e83b6b0523f57dbb515546519377cec7fb975eddd109bed758095|7987b77a0c5475e1fed8f64d4eaa2fb250920aae7b3b91420ee66562fafe7990|a4f3399a04903c2387b4ddd966df2713b139582f54e4b0f2ca158e67aad972cc|c7c8139dcd50a95530214d26cb0f21c287bda94c04daba4847ea2d71f5668150|db22410da1a9fcaf55bd23bd42a82c20c8c1eada214f62f7b464b73bc03ddb6e,4,0.6666666666666666
17,6f8204499e80d326addffd697cd2de00a211b74b4f603f999d5d79ae419a0cc5,028761576d4376996c50b59f3ac7b867aa7dee60122e5ab798db6dfd6b71f9a0|2665e43d7f5c086fa47fedf0e8edf723cc94f96055c7a4c9e396881dcb6fadf5|47c749c21d87cfabbd9b0cfe617bba531f53904c83b5a9c1d92c83473ee14c0e|5719b42d193579fd1623e58b8d530d8286040b714dadd86ffe2c392846fbc239|cc42012f4b8784ee7b1df8172516f59875609f72fffc3ac96101f1458d229bdd,5719b42d193579fd1623e58b8d530d8286040b714dadd86ffe2c392846fbc239|5acdb0f40d758253596208d048e23ebd2d58d36589b2abc6084d7e68654fb050|930b8c6ba468c3978cb95b6e8ea6ef2d1d2c9582d81198678ae7921686ab533d|bd69d599ea26489177659ac73ca4e28babda342232722db4a6acb27478176d27|cc42012f4b8784ee7b1df8172516f59875609f72fffc3ac96101f1458d229bdd,2,0.25
18,5d6d127b60e15cf454b53ab11f82a87670b61e0214fcbe5c4c4b039d607d9af8,3c527060b402204a7b625e88200765af3ef82776cd06313dfc4c85769c739d7e|6b2070b0d64dd941f1876cc557103a08b643f9f25d646d92f0dcaca8ddb5bcfe|debee399268d1c52c937076afde926371d7b1fc389ecfb95e719642d74afed8f|e12e082381a732f9bc8b0e09520343ce052b82f2e8270c3308abcb5d01c8751a|ec6e99cde89fcd45b53585d4f67b5a7ed99047dcbcad72240eed60e08e584598,06877ed0098d149a6d93c27cd6947c942c6320439de94c2b58d3b5a4883cd716|436537978e65f9cf8f75645ea595461a4f38b5313ec086373468ecc4f72a6e3f|49f68faeeef481d6def326018a5fa33388a13be0d694734ad7b940be9b45c8a6|6b2070b0d64dd941f1876cc557103a08b643f9f25d646d92f0dcaca8ddb5bcfe|925bbf18da665ea97608c11fb38f567f5912a7a8e7c8a58e9c09a45a0100ca60,1,0.1111111111111111
19,7464ceba6c66c69efc4e2a582a313e6949930137b2554321dcb0d95ca8467c10,08db3dc49103c8ccfff8b8dd59d2b8fa79ebca6f181aec85d18c2d9e440dc33f|50f50c77354314a73686fd77a1e2c3b3b4b8a48d5bbfdc5391409e149234c098|7175846e309b39507fa4c4cfa3ee674c5626208653c00dcf439122eea5f9aec0|737a8c586e01a3db3f0e7f8cdf0146c83a33197e8d2e8f1ab813f7fbb5ddbbae|c020e3e61c72b8025cbdaa2c813ae36f00080d2900b13a19128931d6d15dd411,08db3dc49103c8ccfff8b8dd59d2b8fa79ebca6f181aec85d18c2d9e440dc33f|50f50c77354314a73686fd77a1e2c3b3b4b8a48d5bbfdc5391409e149234c098|7175846e309b39507fa4c4cfa3ee674c5626208653c00dcf439122eea5f9aec0|737a8c586e01a3db3f0e7f8cdf0146c83a33197e8d2e8f1ab813f7fbb5ddbbae|c020e3e61c72b8025cbdaa2c813ae36f00080d2900b13a19128931d6d15dd411,5,1.0
