text,severity,resolution,product
"Update ""Download"" Page for Bugzilla 2.20.2, 2.22, and 2.23.1",blocker,FIXED,Bugzilla
"Update ""Changes"" Page for Bugzilla 2.20.2, 2.22, and 2.23.1",blocker,FIXED,Bugzilla
"Update ""Release Info"" page for Bugzilla 2.20.2, 2.22, and 2.23.1",blocker,FIXED,Bugzilla
Update New Features page for Bugzilla 2.22,blocker,FIXED,Bugzilla
"Release/News Announcement for Bugzilla 2.20.2, 2.22, and 2.23.1",blocker,FIXED,Bugzilla
"Release Bugzilla 2.20.2, 2.22, and 2.23.1",blocker,FIXED,Bugzilla
"potgresql : varchar(64), value is to small or not the same as mysql",normal,FIXED,Bugzilla
"Docs still refer to ""loginmethod""",normal,FIXED,Bugzilla
Remove documentation specific to MySQL 3.x,normal,FIXED,Bugzilla
Provide editbugs as default timetrackinggroup value,minor,FIXED,Bugzilla
Users with no privs cannot edit bugs anymore (if being logged out first),blocker,FIXED,Bugzilla
Missing whitespaces in the 'fieldvalue_still_has_bugs' error message,trivial,FIXED,Bugzilla
t/012throwables.t shouldn't fail due to unused error tags in code/user-error.html.tmpl,normal,FIXED,Bugzilla
"LDAP user login failure: Can't locate object method ""realname"" via package ""Bugzilla::User""",major,FIXED,Bugzilla
"When trying to impersonate someone, the UI displays the password field when using the ENV method (with user_info_class=""Env,CGI"")",major,FIXED,Bugzilla
"The user prefs tab let you change the password and email address of a user being impersonated when using the ENV method (with user_info_class=""Env,CGI"")",major,FIXED,Bugzilla
ldap_search_error AUTH_ERROR code is not defined,normal,FIXED,Bugzilla
Typo at bottom; 'myslqd' should be 'mysqld',minor,FIXED,Bugzilla
012throwables.t doesn't recognize that certain errors are AUTH_ERROR codes,normal,FIXED,Bugzilla
config.cgi fails with an SQL error in Bugzilla::Keyword with no keywords defined,normal,FIXED,Bugzilla
Bugzilla::BugMail calls Param() outside of any function,normal,FIXED,Bugzilla
"2.20 doesn't have ""After changing bugs"" and ""Add individual bugs to saved searches""",minor,FIXED,Bugzilla
Sendmail complains about a possible attack because there's a newline in the email address,minor,FIXED,Bugzilla
create-series Error: 'options' is null or not an object.,major,FIXED,Bugzilla
editgroups.cgi should make sure groups it edits/removes are not used by editparams.cgi,normal,FIXED,Bugzilla
bugzilla lied to me  The product Derivatives does not exist or you don't have access to it. The following is a list of the products you can choose from.,normal,FIXED,Bugzilla
Auth throws an insecure dependency error because username is tainted,major,FIXED,Bugzilla
Remove useless module dependencies in Bugzilla::Auth::*,normal,FIXED,Bugzilla
B8 and B9 don't have consistent URLs due to lack of section id,trivial,FIXED,Bugzilla
Flag::FormToNewFlags() uses incorrect data,normal,FIXED,Bugzilla
Move Bugzilla::Auth::get_netaddr() in Util.pm,normal,FIXED,Bugzilla
.cgi scripts should call Throw*Error() instead of die(),minor,FIXED,Bugzilla
"When adding a new attachment, data inserted in the bugs_activity are quoted",normal,FIXED,Bugzilla
Windows instructions for installing XML::Twig are wrong,normal,FIXED,Bugzilla
Newsgroup links in the documentation need updating,normal,FIXED,Bugzilla
process_bug.cgi fails when changing several bugs at once if all bugs are in the same product,critical,FIXED,Bugzilla
"Remove B4 from 2.20, 2.22 and trunk docs as we require 5.6.1 already",normal,FIXED,Bugzilla
localconfig generated by checksetup.pl contains an extra '\',trivial,FIXED,Bugzilla
"Fix still_unresolved_bugs to not say ""has still""",trivial,FIXED,Bugzilla
query.cgi#chart doesn't work anymore,minor,FIXED,Bugzilla
Attachment data not deleted when deleting a component,normal,FIXED,Bugzilla
DB::Mysql has old code for MySQL 3.x,trivial,FIXED,Bugzilla
Update Win32 installation instructions for Bugzilla 2.22,normal,FIXED,Bugzilla
We no longer have passwords in clear text,normal,FIXED,Bugzilla
page.cgi?id=fields.html still contains obsolete values for Platform and OS,normal,FIXED,Bugzilla
Bugzilla::Series looks for functions in global scope that are not global functions,normal,FIXED,Bugzilla
Bugzilla/Search/Quicksearch.pm shouldn't use Bugzilla.pm,minor,FIXED,Bugzilla
Collectstats --regenerate fails,normal,FIXED,Bugzilla
'Edit Attachment As Comment' converts plain text to HTML entities,normal,FIXED,Bugzilla
Add back the bugzilla version,normal,FIXED,Bugzilla
checksetup fails if database exists with non-Bugzilla table,normal,FIXED,Bugzilla
"'changer' in editproducts.cgi must be a user login, not a user ID",major,FIXED,Bugzilla
Quicksearch.pm defined $cgi outside routines,major,FIXED,Bugzilla
checksetup fails if no database exists,blocker,FIXED,Bugzilla
testserver.pl requires $::ENV{'PATH'} to be defined,normal,FIXED,Bugzilla
"When using QuickSearch to find something in All products, the footer is bogus",normal,FIXED,Bugzilla
"Various modules assume functions are in global scope, when none are",normal,FIXED,Bugzilla
Undefined subroutine in showdependencytree.cgi in latest CVS,normal,FIXED,Bugzilla
"checksetup.pl ""answers"" file seems to be broken",major,FIXED,Bugzilla
Bugzilla.pm caches data in global variables,normal,FIXED,Bugzilla
Remove usage of Config qw(:locations) in favor of Constants::bz_locations(),normal,FIXED,Bugzilla
checksetup.pl HASH reference error with 2.18.5 to 2.20.2/2.22 upgrade,critical,FIXED,Bugzilla
$template->process leaks 512K of RAM per call under mod_perl,major,FIXED,Bugzilla
SQL query to get all keywords with bug count is duplicated in editkeywords.cgi and describekeywords.cgi,normal,FIXED,Bugzilla
Update notification not working without direct HTTP access,normal,FIXED,Bugzilla
Changing Multiple Bugs is broken on the tip,critical,FIXED,Bugzilla
"keyword cache is not sorted alphabetically, makes sorting by keyword inconsistent",normal,FIXED,Bugzilla
process_bug.cgi calls certain constants as global subroutines,normal,FIXED,Bugzilla
post_bug.cgi lets users with editbugs and canconfirm privs enter bugs as UNCONFIRMED even when votes_to_confirm is 0,minor,FIXED,Bugzilla
Runtests test 004 fails on some systems with a complaint about RELATIVE,major,FIXED,Bugzilla
Cannot upgrade from any version before 2.17.1.,critical,FIXED,Bugzilla
die_with_dignity is useless inside of Bugzilla::CGI,normal,FIXED,Bugzilla
The login form appears twice when trying to add an attachment,normal,FIXED,Bugzilla
votes.cgi: Reference found where even-sized list expected,trivial,FIXED,Bugzilla
"editflagtypes.cgi: Argument """" isn't numeric in numeric gt (>) at template/en/default/request/email.txt.tmpl line 155.",minor,FIXED,Bugzilla
change its to it's or its not to it isn't or something,trivial,FIXED,Bugzilla
There is a dependency loop between Bugzilla::User and Bugzilla::Component,normal,FIXED,Bugzilla
"Update ""Download"" Page for 2.23.2",normal,FIXED,Bugzilla
Status update for 2.23.2,normal,FIXED,Bugzilla
"Update ""Changes"" Page for 2.23.2",blocker,FIXED,Bugzilla
Release/News Announcement for 2.23.2,blocker,FIXED,Bugzilla
Release Bugzilla 2.23.2,blocker,FIXED,Bugzilla
Update bugzilla-update.xml,blocker,FIXED,Bugzilla
"searching results in ""YOUR BROWSER DOESN'T SUPPORT THIS SERVER-PUSH TECHNOLOGY"" warning on brower that does under mod_perl",normal,FIXED,Bugzilla
Error upgrading Bugzilla to version 2.23.2+,critical,FIXED,Bugzilla
hidden submit button should have display: none,trivial,FIXED,Bugzilla
workaround for importxml.pl performance problem,normal,FIXED,Bugzilla
Cannot create new bugs,blocker,FIXED,Bugzilla
editparams.cgi doesn't let me clear a group in editparams.cgi,critical,FIXED,Bugzilla
Users watching you: None,normal,FIXED,Bugzilla
"Documentation still thinks we need XML::Parser, but we now need XML::Twig",normal,FIXED,Bugzilla
Cannot upgrade my PostgreSQL installation anymore,blocker,FIXED,Bugzilla
Update Documentation version for 2.23.2 on URL,normal,FIXED,Bugzilla
Non-installed modules are reported incorrectly,major,FIXED,Bugzilla
$field_descs values in field_descs.none.html are overwritten by values from the DB,minor,FIXED,Bugzilla
Tainted value in request.cgi when restricting the search to a given flag,major,FIXED,Bugzilla
$silent does not work properly in checksetup.pl anymore,major,FIXED,Bugzilla
Bug template creation window has silly title,minor,FIXED,Bugzilla
Cannot add any new field in editvalues.cgi,critical,FIXED,Bugzilla
"The word ""Bug"" appears bare in editparams.cgi",normal,FIXED,Bugzilla
Extremly slow performance with a lot of products (~1800) and security groups for each,normal,FIXED,Bugzilla
Require DBI 1.41+ for DBD::Pg 1.45,trivial,FIXED,Bugzilla
Charts are broken using mod_perl,major,FIXED,Bugzilla
Prevent Flag::clear from deleting a deleted flag when checking the inclusion and exclusion lists,normal,FIXED,Bugzilla
Guided doesn't seem to let me specify a component as part of the url,normal,FIXED,Bugzilla
request.cgi should look at flags.modification_date instead of flags.creation_date,minor,FIXED,Bugzilla
Template-Toolkit 2.15 moved Template::Plugin::GD into a separate package,major,FIXED,Bugzilla
The 'quicksearch' field in the footer redirects to http:// even when sslbase is in use,normal,FIXED,Bugzilla
order not properly validated,critical,FIXED,Bugzilla
file_too_large error should mention AttachURL when enabled,minor,FIXED,Bugzilla
attribute parameter 'mschumann@inconso.de' is not a hash ref at Bugzilla/Auth/Verify.pm line 112,normal,FIXED,Bugzilla
"When Template::Plugin::GD is missing, checksetup.pl tells you to type ""ppm install Template"" instead of ""ppm install Template-Toolkit""",normal,FIXED,Bugzilla
checksetup.pl can create two database connections instead of one,normal,FIXED,Bugzilla
Update makedocs.pl for the mod_perl version,normal,FIXED,Bugzilla
Avoid using the string 'the web',normal,FIXED,Bugzilla
"No header field ""MIME-Version: 1.0"" in e-mails, encoded as Quoted-Printable.",normal,FIXED,Bugzilla
User matching not called for requestee fields in post_bug.cgi,normal,FIXED,Bugzilla
Deleting a user account crashes Bugzilla,critical,FIXED,Bugzilla
Incorrect field name in FlagType.pm,trivial,FIXED,Bugzilla
Entering an non-integer sortkey crashes editclassifications.cgi,normal,FIXED,Bugzilla
Fix usage of HTML header tags in template/en/default/global/header.html.tmpl,normal,FIXED,Bugzilla
search the Documentation function broken -> Internal Server Error,normal,FIXED,Bugzilla
Intel Mac should be detected as Hardware: PC rather than Hardware: Mac,normal,FIXED,Bugzilla
Params can't be updated when webservergroup is empty,critical,FIXED,Bugzilla
[PostgreSQL] Cannot create a new bug object when custom fields exist,critical,FIXED,Bugzilla
Cannot set Bugzilla->batch(0),normal,FIXED,Bugzilla
Deleting a user account displays incoherent comments,normal,FIXED,Bugzilla
"turn off server push when X-Moz header set to ""microsummary""",normal,FIXED,Bugzilla
"win32install.html: Collectstats is mentioned to run with -T, but shouldn't",normal,FIXED,Bugzilla
"An arrayref is always ""true""",minor,FIXED,Bugzilla
votes.cgi fails with a taint error,major,FIXED,Bugzilla
"Editing keywords results in a ""Software Error""",normal,FIXED,Bugzilla
Duplicated IDs on all pages,trivial,FIXED,Bugzilla
enter_bug.cgi doesn't pass HTML validation,minor,FIXED,Bugzilla
"Attachment links in comments still say ""edit"" instead of ""details.""",normal,FIXED,Bugzilla
skins/custom/*.css not created,normal,FIXED,Bugzilla
Find a Specific Bug for Closed bugs returns NO ROWS,blocker,FIXED,Bugzilla
votes page doesn't tell me why a bug is crossed out,normal,FIXED,Bugzilla
make show_bug valid,minor,FIXED,Bugzilla
process_bug.cgi tries to send emails to too many bugs,minor,FIXED,Bugzilla
001compile.t must not compile mod_perl.pl,normal,FIXED,Bugzilla
Display custom fields on show_bug.cgi before the time table,trivial,FIXED,Bugzilla
OS becomes Other when use windows98,normal,FIXED,Bugzilla
User preference to add/remove individual bugs to saved searches should default to off,normal,FIXED,Bugzilla
DB::bz_add_column() shouldn't print anything when called from editfields.cgi,normal,FIXED,Bugzilla
Display a message when a custom field has been successfully created,trivial,FIXED,Bugzilla
Bugzilla::AUTOLOAD tries to find Bugzilla::Bug::confess() when a bug method doesn't exist,normal,FIXED,Bugzilla
Inactive Flag Types should not be a fatal error - Bugzilla has suffered an internal error.,major,FIXED,Bugzilla
Use of uninitialized value in pattern match (m//) at editusers.cgi line 270,minor,FIXED,Bugzilla
Add me to cc list feature is confusing,normal,FIXED,Bugzilla
undefined value when creating a new user account,trivial,FIXED,Bugzilla
checksetup does not properly add a short_desc index to old installations,critical,FIXED,Bugzilla
profiles.disabledtext has its definition changed every time checksetup runs,major,FIXED,Bugzilla
We don't need an index on bugs.short_desc,normal,FIXED,Bugzilla
"""How to Release Bugzilla"" docs recommend breaking people's LASTORDER cookies",minor,FIXED,Bugzilla
checksetup problem adding indices,normal,FIXED,Bugzilla
Odd number of elements in anonymous hash in editusers.cgi,minor,FIXED,Bugzilla
votes.cgi crashes if your vote is the one confirming a bug,normal,FIXED,Bugzilla
"CodeErrors print out a whole HTML page, even when we're not in USAGE_MODE_BROWSER",normal,FIXED,Bugzilla
Errors are always displayed in plain text,major,FIXED,Bugzilla
userprefs.cgi mysteriously fails (Our template-toolkit requirement is too low),major,FIXED,Bugzilla
"skins/.cvsignore should be in the CVS repo, not created by checksetup",normal,FIXED,Bugzilla
shutdownhtml will not work under mod_perl,normal,FIXED,Bugzilla
Cannot log in on a fresh installation,blocker,FIXED,Bugzilla
Warnings in the web server error log when no URL is given on bug creation,minor,FIXED,Bugzilla
Allow buidling the API documentation without the rest of the build environment,normal,FIXED,Bugzilla
"Changing a DB column type to ""serial"" is broken on postgre",major,FIXED,Bugzilla
"""You are receiving this mail because"" messages cannot be localized",normal,FIXED,Bugzilla
account/prefs/footer.html.tmpl is dead code,minor,FIXED,Bugzilla
mod_perl configuration needs a DirectoryIndex statement,normal,FIXED,Bugzilla
Hooks require Template Toolkit  2.12 but we only check for 2.10,normal,FIXED,Bugzilla
“I'm added to or removed from this capacity” user pref doesn't work for new bugs,normal,FIXED,Bugzilla
Public webdot server changed its IP address,normal,FIXED,Bugzilla
The confirmation page when deleting a user account who has entries in the bugs_activity table fails to notify the administrator correctly,normal,FIXED,Bugzilla
Sanity Check rescanallbugmail not working,normal,FIXED,Bugzilla
Rename BugMail::ProcessOneBug() as BugMail::Send,trivial,FIXED,Bugzilla
"object => ""field values"" doesn't exist in user-error.html.tmpl",normal,FIXED,Bugzilla
Checksetup needs Perl-LDAP for Net::LDAP module on Windows,normal,FIXED,Bugzilla
Release Notes For Bugzilla 2.22.1,blocker,FIXED,Bugzilla
Release Notes For Bugzilla 2.18.6,blocker,FIXED,Bugzilla
Release Notes For Bugzilla 2.20.3,blocker,FIXED,Bugzilla
"""How to Release Bugzilla"" docs should include instructions to avoid bug 330313 to recur",minor,FIXED,Bugzilla
Changing multiple bugs fails,normal,FIXED,Bugzilla
"Missing ""--do_not_change--"" option for custom select fields when changing several bugs at once",major,FIXED,Bugzilla
Bad filtering of bug list names,normal,FIXED,Bugzilla
"[Selenium] <name=""newqueryname"" ...> needs an ID",trivial,FIXED,Bugzilla
[PostgreSQL] Crash if sharer_id is not an integer,normal,FIXED,Bugzilla
Shared Queries don't work if usevisibiltygroups is off,major,FIXED,Bugzilla
[PostgreSQL] Crash when querying the DB,major,FIXED,Bugzilla
group restriction isn't applied on bug creation,normal,FIXED,Bugzilla
Groups are out of order when sharing queries,minor,FIXED,Bugzilla
Bug::check_can_change_field() incorrectly updates $PrivilegesRequired,normal,FIXED,Bugzilla
XML Output change to remove lots of excess whitespace,normal,FIXED,Bugzilla
missing 'are' in email notification,trivial,FIXED,Bugzilla
Crash when calling showdependencytree.cgi with no bug ID,minor,FIXED,Bugzilla
No title is displayed when confirming a bug by popular votes,minor,FIXED,Bugzilla
editkeywords.cgi does not HTMLify descriptions,minor,FIXED,Bugzilla
"H1, H2 and H3 are not filtered in global/header.html.tmpl",major,FIXED,Bugzilla
attachment.cgi lets you view descriptions of private attachments even when you are not in the insidergroup,minor,FIXED,Bugzilla
"XSS in the ""id"" parameter of showdependencygraph when ""doall"" is set",critical,FIXED,Bugzilla
timetracking deadline leaks in xml,normal,FIXED,Bugzilla
"Update ""Release Info"" pages for 2.18.6, 2.20.3, 2.22.1, and 2.23.3",blocker,FIXED,Bugzilla
"Update ""Download"" Page for 2.18.6, 2.20.3, 2.22.1, and 2.23.3",blocker,FIXED,Bugzilla
"Update ""Changes"" Page for 2.18.6, 2.20.3, 2.22.1, and 2.23.3",blocker,FIXED,Bugzilla
"Status Update for 2.18.6, 2.20.3, 2.22.1, and 2.23.3",blocker,FIXED,Bugzilla
"Security Advisory for 2.18.6, 2.20.3, 2.22.1, and 2.23.3",blocker,FIXED,Bugzilla
"Release/News Announcement for Bugzilla 2.18.6, 2.20.3, 2.22.1, and 2.23.3",blocker,FIXED,Bugzilla
Update bugzilla-update.xml,blocker,FIXED,Bugzilla
Link to new API documentation,normal,FIXED,Bugzilla
"Release Bugzilla 2.18.6, 2.20.3, 2.22.1, and 2.23.3",blocker,FIXED,Bugzilla
"Mass-change broken due to the undesired onClick=""document.location='show_bug.cgi?id=XXX'""",major,FIXED,Bugzilla
'cf_' should not be allowed as a custom field name,normal,FIXED,Bugzilla
Insecure dependency in exec while running with -T switch at /usr/lib/perl5/site_perl/5.8.6/Mail/Mailer/sendmail.pm line 16.,normal,FIXED,Bugzilla
Clean up a few more variable-scoping issues for mod_perl,normal,FIXED,Bugzilla
editgroups.cgi doesn't protect the querysharegroup from deletion,normal,FIXED,Bugzilla
Renaming a group which plays a special role generates a SQL error,critical,FIXED,Bugzilla
$rankdir should be validated in showdependencygraph.cgi,normal,FIXED,Bugzilla
Custom select fields are mandatory on bug creation (despite they shouldn't be),normal,FIXED,Bugzilla
bug creation time not available on bug creation,normal,FIXED,Bugzilla
Custom fields should appear as text when they are not editable,normal,FIXED,Bugzilla
MIME-Types version requirement is at least 0.02,minor,FIXED,Bugzilla
"whine.pl says ""email address has not been properly set"" with default parameters",major,FIXED,Bugzilla
Flag fieldset should appear directly under People fieldset,normal,FIXED,Bugzilla
report.cgi generates bare '&' in img src URL,minor,FIXED,Bugzilla
Crash on enter_bug.cgi,blocker,FIXED,Bugzilla
Field Values still visible in navigation bar for user with editcomponents rights,minor,FIXED,Bugzilla
Missing module declarations in Bug.pm,normal,FIXED,Bugzilla
Having links to search for and create a new bug 4 times on a page is excessive,minor,FIXED,Bugzilla
"Can't locate object method ""use_for"" via package ""Bugzilla::Group""",major,FIXED,Bugzilla
"Labels of custom fields are left aligned on enter_bug.cgi,post_bug.cgi",normal,FIXED,Bugzilla
"Top nav should have ""Preferences,"" and shouldn't have ""Sanity Check.""",minor,FIXED,Bugzilla
WebService functions version and timezone should follow bugzilla standard,minor,FIXED,Bugzilla
[PostgreSQL] Sequences need to be renamed when their field is renamed,major,FIXED,Bugzilla
buglist.cgi doesn't specify encoding as UTF-8 when the rest of Bugzilla does,normal,FIXED,Bugzilla
"Users can add bugs to groups that they are members of, even if the group controls are NA/NA",normal,FIXED,Bugzilla
missing indexes cause upgrades to fail -- code think-o,critical,FIXED,Bugzilla
skins/standard/show_bug.css is gone,trivial,FIXED,Bugzilla
voting should not offer a text field if the user only has one vote available or voting error is wrong,minor,FIXED,Bugzilla
"[PostgreSQL] It's somehow possible to generate two ""relevance"" columns on buglist.cgi",minor,FIXED,Bugzilla
loginnetmask param should default to 1,normal,FIXED,Bugzilla
"Can't locate object method ""type_name"" via package ""Bugzilla::Field"" when listing custom fields",major,FIXED,Bugzilla
process_bug.cgi crashes when encountering a deleted user,minor,FIXED,Bugzilla
"""Use of uninitialized value in integer addition"" on buglist.cgi under AIX 5.3",normal,FIXED,Bugzilla
"No space between ""Actions:"" and ""Home"" when logged out",minor,FIXED,Bugzilla
"When adding a new custom field, a sortkey of 0 is ignored",normal,FIXED,Bugzilla
make releases list easier maintenance,minor,FIXED,Bugzilla
UTF-8 conversion fails on MySQL 5,critical,FIXED,Bugzilla
"[PostgreSQL] Too many ""NOTICE"" messages from checksetup.pl",normal,FIXED,Bugzilla
[PostgreSQL] Warning when creating the logincookies table,minor,FIXED,Bugzilla
Upgrades from versions with enums fail UTF-8 conversion,critical,FIXED,Bugzilla
No requestee field available for attachments on bug creation,normal,FIXED,Bugzilla
Docs need to be changed to include info about the Email:: modules instead of the Mail:: modules,critical,FIXED,Bugzilla
bugzilla user interface gets corrupted by multiple localized users resolving bugs as duplicates,blocker,FIXED,Bugzilla
Documentation for User Deletion,normal,FIXED,Bugzilla
"The ""Using Bugzilla"" chapter should be before the ""Customising Bugzilla"" chapter",normal,FIXED,Bugzilla
update Bugzilla FAQ,blocker,FIXED,Bugzilla
"Attachments should have their own section in the docs, and info about PatchReader should be a sub-section of it",normal,FIXED,Bugzilla
Add link to DBD::Pg in the documentation,normal,FIXED,Bugzilla
SQL query in Bugzilla::Bug::EmitDependList() too complicated,trivial,FIXED,Bugzilla
allowbugdeletion should not say versions can delete bugs,minor,FIXED,Bugzilla
Use of uninitialized value in numeric eq (==) at Bugzilla/User.pm line 1465,normal,FIXED,Bugzilla
"Argument """" isn't numeric in numeric gt (>) at data/template/template/en/default/global/user-error.html.tmpl line 1526",minor,FIXED,Bugzilla
"gmt, ut, utc, wet cannot be used as timezone",normal,FIXED,Bugzilla
An error is thrown when the requestee of a private attachment is not in the insidergroup,normal,FIXED,Bugzilla
checksetup.pl should get confirmation from the user before causing dataloss in UTF8 conversion,normal,FIXED,Bugzilla
email-in.pl permissions not good after running checksetup,minor,FIXED,Bugzilla
"""NNTP"" and ""IO"" should be filtered out of the mail_delivery_method options, or made useful",normal,FIXED,Bugzilla
"If recode.pl --guess is unable to detect some encodings, checksetup.pl will never complete (unless you agree to loose some data)",normal,FIXED,Bugzilla
No obvious way to log in to view/change a bug when you're not logged in.,major,FIXED,Bugzilla
Double quotes in comments,normal,FIXED,Bugzilla
Perl modules Email-Reply and Email-MIME-Modifier missing from the,critical,FIXED,Bugzilla
checksetup.pl needs to blacklist some non-working external modules,normal,FIXED,Bugzilla
