text,severity,resolution,product,text_hash,thesis_class
"Fix sudo_in_progress to not say ""an sudo""",trivial,FIXED,Bugzilla,ec8bccbc09e8a7a7c7f4f71949ca468f39b403b2076580550730cb7c976b1ee9,play
login_required_for_pronoun doesn't make sense,trivial,FIXED,Bugzilla,32194a45d81896cd7637434a41ae2bbcbfbc73ccdded0a3a039a51111bd877f2,play
"Incorrect English in ""You can't make [% terms.abug %] blocked or dependent on itself.""",normal,FIXED,Bugzilla,7cb01063467bbdacfa1fe11098e4c728d0177c8b8124d19fcb32041eabc81e94,pausa
Add 'extensions' to .cvsignore,trivial,FIXED,Bugzilla,45a81759c53d48ea78341e3c6be197fa66a2e0dc80c9de2e2d77332c503534c2,play
Incorrect output when updating components,normal,FIXED,Bugzilla,895e3860ce54178f00050297cc7aad332f57ef7413483fa3c69f477b0868bad5,pausa
"""Cancelled Because:"" needs a space after "":""",normal,FIXED,Bugzilla,1ac5c69e6cf1c60a14d882e28d8750f38b820ea6d03b9cb47a5d07a484fa5cfd,pausa
Bad alignment of ) for Alias,trivial,FIXED,Bugzilla,8bbbbe55ab4ff1a049f9787244d0e9816d863a68617f723371bb8df910a0fce0,play
twice SQLQuote in Bugzilla::flag::modify,normal,FIXED,Bugzilla,d9dcd48339f26c9fbe82ac379fa19b0fb266aae1e8a6bdbd3aab37db887544c6,pausa
Missing SET in admin/table.html.tmpl,normal,FIXED,Bugzilla,2e456e7cfec3b2576caa26e8d017d27073ccd7ffaacb64921498289609d057b2,pausa
Wrong parameters passed to sudo sessions when trying to bypass validation checks,normal,FIXED,Bugzilla,f0c93d4a8e352a403055d6608c2eb9589d58d1427a1d898b078309c2ffd5a126,pausa
Style the group table as all other tables in Bugzilla,normal,FIXED,Bugzilla,8127a12ce9797c446459212750554650cac30b498651d0ac0846a10323573e2a,pausa
Cannot post a bug with keywords in it,critical,FIXED,Bugzilla,352d509ac640eae34d8be92e9b53ca4238d8578cb58702f17e185f750ba91d25,stop
Steps to Reproduce default content has an extra linebreak,trivial,FIXED,Bugzilla,bb016db8438fdde764dbb88d3580ec785a6c3b70b7dcd14e06816b3f0937f10c,play
Already marked as duplicate - This bug has already been marked as a duplicate of bug 328615.,normal,FIXED,Bugzilla,9412be80154a010c5de9779da800cad8656230c93f3cfd0c46f5b21c6ae69902,pausa
Uninitialized value when entering a new bug with no alias given,minor,FIXED,Bugzilla,9d7df22252d7ceb58a6bb6f8de5060cdae25735d58c645be89d86fd1bfab2291,play
contrariety example in search-help,trivial,FIXED,Bugzilla,c97ed16145997b6f35fd67c8c72507e85ed4c950bfbfc565dde8f7d07b3efd30,play
Bugzilla::DB::Pg can't alter a column to be SERIAL,normal,FIXED,Bugzilla,59ff79de5d7dc1638a3a930b6eec3af398d68129c3346afdf525c8894b1e0c3a,pausa
extra </a> in sudo_password_required message,trivial,FIXED,Bugzilla,c1e998c2b9d935cfb1c2af159cbf5803d9609c24b61c5cff6d4316043fbc9605,play
process_bug.cgi is broken when changing several bugs at once,blocker,FIXED,Bugzilla,d39c379e0241612d8c0492375a15128665ca58cb455717fec107fcfb6fc5f991,stop
012throwables.t broken on Windows,normal,FIXED,Bugzilla,7e19080f39f8bc34bd8ad9847c6e9f94faa45b773fd628d25f3cea9afde1c152,pausa
importxml.pl crashes when importing bugs having attachments from versions 2.20 or older,major,FIXED,Bugzilla,c84a45c880570a0bb78e5805667a4531fe016ad493d9888e8cbd602038e823bb,pausa
"When calling importxml.pl with the -v option, information is displayed too many times",normal,FIXED,Bugzilla,25deb8609db4abfdd31b425549f98df9df39c904f572bbe73116825dd2e9f989,pausa
Release Notes for 2.20.2,blocker,FIXED,Bugzilla,ddb29cd8f3c5ed6ef77bfd34afc68fff60ed02b934e10927732bca0caf551604,stop
Release Notes for 2.22,blocker,FIXED,Bugzilla,3d65d8ad2b65ce78de6dc30a7a5e87dfc5f57596f37844fc4d4f004193609b69,stop
"Status Update for Bugzilla 2.20.2, 2.22, and 2.23.1",blocker,FIXED,Bugzilla,42b1836a6bd814015141bc4e532aab4de7a8f5d846699d09d3f7d36149486635,stop
"Update ""Download"" Page for Bugzilla 2.20.2, 2.22, and 2.23.1",blocker,FIXED,Bugzilla,99c682591bb15735ee85b3655ab0c02ed29b9f13ffb28aecc54b14f8839ed571,stop
"Update ""Changes"" Page for Bugzilla 2.20.2, 2.22, and 2.23.1",blocker,FIXED,Bugzilla,727c8df73926bf537f21623ba1c0b5d97784d44a44f51c5edab8517bc9726fc7,stop
"Update ""Release Info"" page for Bugzilla 2.20.2, 2.22, and 2.23.1",blocker,FIXED,Bugzilla,4b4b8e2388b134b36ec8fac037157254ffb152e1761b34858c6f2476058fbd68,stop
Update New Features page for Bugzilla 2.22,blocker,FIXED,Bugzilla,128e88d541d679c83ab89f62b7dce4b235f7d9f9d7b373748c69e53f3f8b4161,stop
"Release/News Announcement for Bugzilla 2.20.2, 2.22, and 2.23.1",blocker,FIXED,Bugzilla,183635de065e0a8bd0e3ea55c5f6f4c31d5edeaa06d30eccd48f55cecf4ee3d4,stop
"Release Bugzilla 2.20.2, 2.22, and 2.23.1",blocker,FIXED,Bugzilla,faf2204562d8416150759523b47b6ec8d9179072a0178e36ef558322b89fa15b,stop
"potgresql : varchar(64), value is to small or not the same as mysql",normal,FIXED,Bugzilla,494531fc8045679a68d84621ffd8739289e28d16d436b16ad774e93b698bf22d,pausa
"Docs still refer to ""loginmethod""",normal,FIXED,Bugzilla,e2d002f44add520f825c2921565837bd0fa288234f12752718cc049f8175cf54,pausa
Remove documentation specific to MySQL 3.x,normal,FIXED,Bugzilla,8a6860d63b6cf1a47bbe23f43c10cfcd3099f86985dc443d01c810f90e0eb545,pausa
Provide editbugs as default timetrackinggroup value,minor,FIXED,Bugzilla,bc03c4731faf2fc39aa155abb880ea1735f0cc29fd2e2cf0f3ff3a8df6d225c2,play
Users with no privs cannot edit bugs anymore (if being logged out first),blocker,FIXED,Bugzilla,45801ea891eab791a56bc064fb125504abc442a9b76888375fb31358b2a7c264,stop
Missing whitespaces in the 'fieldvalue_still_has_bugs' error message,trivial,FIXED,Bugzilla,340a462bbf4ad4b97da1f6a1cee50e183d4e386f1d063852dc66887d9134a774,play
t/012throwables.t shouldn't fail due to unused error tags in code/user-error.html.tmpl,normal,FIXED,Bugzilla,7ee6e35bc43591145cabe8aac4ff560ab7c1392387195246b0e5715a65f09bf0,pausa
"LDAP user login failure: Can't locate object method ""realname"" via package ""Bugzilla::User""",major,FIXED,Bugzilla,fdb132d482df2f98d02a7bbe2bfcb10bdc1f7257a47331b191c94ca4dda901b0,pausa
"When trying to impersonate someone, the UI displays the password field when using the ENV method (with user_info_class=""Env,CGI"")",major,FIXED,Bugzilla,28802a720e8d9c7d05875e9f1eb30c61b2492d6f4f87a3d1814d7ec4ab2f44fe,pausa
"The user prefs tab let you change the password and email address of a user being impersonated when using the ENV method (with user_info_class=""Env,CGI"")",major,FIXED,Bugzilla,c5e403ec049031e7068dfd077c09c3ad50a9bc267b9a5b857073401aa85cc17a,pausa
ldap_search_error AUTH_ERROR code is not defined,normal,FIXED,Bugzilla,c8bea85be9457d11173d0aa009da0ad38f31711ea67e25c076a988cf62bdccc7,pausa
Typo at bottom; 'myslqd' should be 'mysqld',minor,FIXED,Bugzilla,431c45b51baa1b714b2089f03cf4324c349b13b637bfae4d977aa9a2c7586a7b,play
012throwables.t doesn't recognize that certain errors are AUTH_ERROR codes,normal,FIXED,Bugzilla,4d792342b8040c9d8d7269462b1fcac34f105f07e32b5a8041499fc6bf3c0380,pausa
config.cgi fails with an SQL error in Bugzilla::Keyword with no keywords defined,normal,FIXED,Bugzilla,83db7f46325f105eff7497d0b1e481dd6a4c3e6e021dd56cdb4e58888626ca3f,pausa
Bugzilla::BugMail calls Param() outside of any function,normal,FIXED,Bugzilla,c259fbcbba5b22616f2558fb0b62f5701003e43e8a1b2c12e295a898ffcddbc2,pausa
"2.20 doesn't have ""After changing bugs"" and ""Add individual bugs to saved searches""",minor,FIXED,Bugzilla,79595a29a7f6f634f44b0e0d32bb641150287f7aac716ba5a16b7dd1d798e3fa,play
Sendmail complains about a possible attack because there's a newline in the email address,minor,FIXED,Bugzilla,f88d3de78c054a84b5fac457b8dc32a9542a22363aa78e3d186ab6d9883474a7,play
create-series Error: 'options' is null or not an object.,major,FIXED,Bugzilla,29e134d5da98e26832fad61b7d9b6a998be523ac90976a5d241df1fb88c3bcec,pausa
editgroups.cgi should make sure groups it edits/removes are not used by editparams.cgi,normal,FIXED,Bugzilla,7385a962596db0ed5067be181f10b2a97bbd371b1ff9903d847ef5526bfbe66b,pausa
bugzilla lied to me  The product Derivatives does not exist or you don't have access to it. The following is a list of the products you can choose from.,normal,FIXED,Bugzilla,d1401440b8daedb19ef5f68dfc123cc19a5bdd266ac8b937ed3925acaa15168a,pausa
Auth throws an insecure dependency error because username is tainted,major,FIXED,Bugzilla,29ac5c9ea4bf2b685e1221cf7c63c960df01f4ca82f8540758c54f33a5acd4e3,pausa
Remove useless module dependencies in Bugzilla::Auth::*,normal,FIXED,Bugzilla,ab62566b2865227658cf4e50c8bd50dff2e581a7796eb6ff55ff1e3984cdaf4e,pausa
B8 and B9 don't have consistent URLs due to lack of section id,trivial,FIXED,Bugzilla,056ec8b7add591756b88cbf6e8458661085d03fba340cf165bf2f0e8890651ae,play
Flag::FormToNewFlags() uses incorrect data,normal,FIXED,Bugzilla,f7f39d3c7e2d1f7263376902b424ca5f74cf2d618140be01b99dc7403b130ad5,pausa
Move Bugzilla::Auth::get_netaddr() in Util.pm,normal,FIXED,Bugzilla,e29edd2c5eec645171249aadae64c014de6155414c3c7db7882456360a871e35,pausa
.cgi scripts should call Throw*Error() instead of die(),minor,FIXED,Bugzilla,9b213d0098960dee5abdd28f772762415eea9b24d9401cc8031ea0bb76b0f708,play
"When adding a new attachment, data inserted in the bugs_activity are quoted",normal,FIXED,Bugzilla,4909a165660dee36dca4cc8c20e1aedd813f875fb52934112e5bed19f6964bd9,pausa
Windows instructions for installing XML::Twig are wrong,normal,FIXED,Bugzilla,1731d34c9dad4510ecb115fe9772064760758849614913595b04a86781519e52,pausa
Newsgroup links in the documentation need updating,normal,FIXED,Bugzilla,8e2b0b0dec188bdb4bd125042eb193e08b2facf8015bb3665d44e0f811995be8,pausa
process_bug.cgi fails when changing several bugs at once if all bugs are in the same product,critical,FIXED,Bugzilla,f8e8d399f8888af2701022e8e922f66ad564897c01dd887c064995d1fa95b117,stop
"Remove B4 from 2.20, 2.22 and trunk docs as we require 5.6.1 already",normal,FIXED,Bugzilla,031a394ff767ed4f844941df5b468b85efdceb7a71c45033b033bb60111689f8,pausa
localconfig generated by checksetup.pl contains an extra '\',trivial,FIXED,Bugzilla,ad6e7e95e88d805ef5c9ab1f6cef891a0dd34a5d50d8e7e788b9667b637d8792,play
"Fix still_unresolved_bugs to not say ""has still""",trivial,FIXED,Bugzilla,2420d3acf2bad3ca2404310b8220c41235fd593fa46772ae4f08f23447be00ef,play
query.cgi#chart doesn't work anymore,minor,FIXED,Bugzilla,62e0c3169ce19c1e8f40478bc72a78a5b398a03756dd4435637bfb806e07b5c9,play
Attachment data not deleted when deleting a component,normal,FIXED,Bugzilla,c28db826c2df6b87cd595a45f97346ee75e981b36af2706c76ec9fd593944357,pausa
DB::Mysql has old code for MySQL 3.x,trivial,FIXED,Bugzilla,16330ce030ca1e2ae56c166295a1492aae388d96860602c97a21fdb4ab4fcc98,play
Update Win32 installation instructions for Bugzilla 2.22,normal,FIXED,Bugzilla,2a3e5cb0e4c01ac27293931d58adcd094753607364aab78717f7341dc6e9ed1d,pausa
We no longer have passwords in clear text,normal,FIXED,Bugzilla,af54514013628b16fb198512c3493e0275ae27d93e0fb8c70a5584068f984449,pausa
page.cgi?id=fields.html still contains obsolete values for Platform and OS,normal,FIXED,Bugzilla,6d29e5e913ee96dddeb5de44927e3afc123a2dee2db631c844c406be6c92c201,pausa
Bugzilla::Series looks for functions in global scope that are not global functions,normal,FIXED,Bugzilla,b845ceb3aa29a1bfa95ff82837e04e4a78d2d6f5391a857d90140daddf410244,pausa
Bugzilla/Search/Quicksearch.pm shouldn't use Bugzilla.pm,minor,FIXED,Bugzilla,13af4988f108993f99adcaa9cd17ad53a4b44d5349e54b82317d331b457d3172,play
Collectstats --regenerate fails,normal,FIXED,Bugzilla,0142f3039ce7d3e14fc6fec5a4b68dce88edcba18adc33ab8e507bc90dd16e34,pausa
'Edit Attachment As Comment' converts plain text to HTML entities,normal,FIXED,Bugzilla,52b4a21bec5cc75924d2ba2e422c34761a58a859cabee9ee7df7293a95275155,pausa
Add back the bugzilla version,normal,FIXED,Bugzilla,47aa53948c9883fec8956516e67c625845f97bbd8ea6d47e2b074c09b3284624,pausa
checksetup fails if database exists with non-Bugzilla table,normal,FIXED,Bugzilla,989b6e0ffaca2f730989747a827ebad5eda5efbd8156cda9e5513447f5a3f46c,pausa
"'changer' in editproducts.cgi must be a user login, not a user ID",major,FIXED,Bugzilla,9a4b8b0bd227669f54ea7be15395e8538fc67d8755b090aaa010cca19d89c302,pausa
Quicksearch.pm defined $cgi outside routines,major,FIXED,Bugzilla,7f6211db616b3af8a3aad789dd4a4db962cb67a4504b10c2fcb95da08d9c7edb,pausa
checksetup fails if no database exists,blocker,FIXED,Bugzilla,d2f11ce7f3c2d4e78e04d3b4fbc778243437b15dcc8e2380ba753350f882a225,stop
testserver.pl requires $::ENV{'PATH'} to be defined,normal,FIXED,Bugzilla,64ee25db998c30e2abdff647ebfd748bc261a450003b0d591143b765a7a20c19,pausa
"When using QuickSearch to find something in All products, the footer is bogus",normal,FIXED,Bugzilla,f765150efb6527e301535dbefdb0d114202bc7c747f332f20d75b9b12ff985c9,pausa
"Various modules assume functions are in global scope, when none are",normal,FIXED,Bugzilla,002e21ecd8a923b0d05ef8e7e392ed101ff6b5b5ff8e595aeb0af22ff7a3f1ba,pausa
Undefined subroutine in showdependencytree.cgi in latest CVS,normal,FIXED,Bugzilla,89ada516946859a2ed812fa26abf228dd9dedbf79576616dccfaf0ab1f4397ea,pausa
"checksetup.pl ""answers"" file seems to be broken",major,FIXED,Bugzilla,3c2ae082aa3bbe0606e908757018132a8201de2e3f6f58327fbea919e084a3f6,pausa
Bugzilla.pm caches data in global variables,normal,FIXED,Bugzilla,c9fba3791bf8aed20b114fd57ba86ed944f974c010bcf1f7c4ec2212d702bf0d,pausa
Remove usage of Config qw(:locations) in favor of Constants::bz_locations(),normal,FIXED,Bugzilla,3be09812c79b0a77627068bcbf3514e8f318e2d053e65aafccf98eaf2f8eb7c5,pausa
checksetup.pl HASH reference error with 2.18.5 to 2.20.2/2.22 upgrade,critical,FIXED,Bugzilla,5e1af31053277dc0ce1c11e7288be38cbd79309a4379e2d4096c4196fd23ddd5,stop
$template->process leaks 512K of RAM per call under mod_perl,major,FIXED,Bugzilla,42f7d0c5ef163dc3657abb55262f49039347b7e70087360691a2561e0a2dfa8f,pausa
SQL query to get all keywords with bug count is duplicated in editkeywords.cgi and describekeywords.cgi,normal,FIXED,Bugzilla,2cb3a45054fac89e4fb5ce06ac47529a273be52a4f41a45bc8860b9d0e55ca79,pausa
Update notification not working without direct HTTP access,normal,FIXED,Bugzilla,48b6a03efb1b05e1c96319059bb91f8dfcb290821ae030851a1acbe797a8d7b9,pausa
Changing Multiple Bugs is broken on the tip,critical,FIXED,Bugzilla,475cf7c8391487974a1543d342b835a1040712204f92d81d038948079643b97a,stop
"keyword cache is not sorted alphabetically, makes sorting by keyword inconsistent",normal,FIXED,Bugzilla,725201101d46ffcace7ac0f1988c3f5da43b48190276b9ae93e400e1a8249ed6,pausa
process_bug.cgi calls certain constants as global subroutines,normal,FIXED,Bugzilla,601fc8cda9a7a5c3ad247b7b81efdd0e3ac33322c3088ccc0bce288c99fd0281,pausa
post_bug.cgi lets users with editbugs and canconfirm privs enter bugs as UNCONFIRMED even when votes_to_confirm is 0,minor,FIXED,Bugzilla,fbafd27fe077bdc8e048c5e2ab6434c9eb722b8ff3a5e8d31ee01fe0380c548a,play
Runtests test 004 fails on some systems with a complaint about RELATIVE,major,FIXED,Bugzilla,344a511f8302aaec65f9432c38625943dfe1934e7e7e5e0a1b6390391f1d2ae4,pausa
Cannot upgrade from any version before 2.17.1.,critical,FIXED,Bugzilla,53140789c76037f5449159a19859f08add85ebc73fad0b7de965a42796b1a685,stop
die_with_dignity is useless inside of Bugzilla::CGI,normal,FIXED,Bugzilla,4607ba3568223882cc4dcf2b1caf5fd4e91c03fa1c9df13350e14d7b7d1ac931,pausa
The login form appears twice when trying to add an attachment,normal,FIXED,Bugzilla,439c96c02700a95b9e3943bd0c78e646c79ce4e17725c1b07a41c11faace2586,pausa
votes.cgi: Reference found where even-sized list expected,trivial,FIXED,Bugzilla,91cc161e9d2c3dfc0e3ae4eaa3f2daf2aa221246c375ac0902c88aad0db82351,play
"editflagtypes.cgi: Argument """" isn't numeric in numeric gt (>) at template/en/default/request/email.txt.tmpl line 155.",minor,FIXED,Bugzilla,88f13cd29cd893c4c9901cda1732825b5f9fb5467f53e97fd6057f45caf9772f,play
change its to it's or its not to it isn't or something,trivial,FIXED,Bugzilla,fe781fff53a5a77ccfb1de2d9737276817755f6ebff2d1b53ab2b1f54a802115,play
There is a dependency loop between Bugzilla::User and Bugzilla::Component,normal,FIXED,Bugzilla,2003e4a421a7424336f86bd605918cf0b965f1ec51cb25120845b1f267aba6b2,pausa
"Update ""Download"" Page for 2.23.2",normal,FIXED,Bugzilla,6c7760f6da94026826707926747d282ceae929c394d1f787a375ef4b4e7fa754,pausa
Status update for 2.23.2,normal,FIXED,Bugzilla,59c5577454034e60efe6f0e2a3a8dc2c549beff4b9443c8e288069df9d0b7c36,pausa
